,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
167,840,True,tree100,0.5588990312849687,0.5907732443337809,0.5954525056095736,0.5930950520040217,0.5302363546296811
168,850,True,log,0.5707583287349205,0.7482852602878385,0.30654877866027275,0.4349142468009813,0.6931486454415015
169,850,True,tree100,0.559364340902691,0.5903384184663503,0.5955492282331785,0.5929291011751798,0.5233464345051198
170,860,True,log,0.5701089159262259,0.7470180029772863,0.3051827773992473,0.4333285162504142,0.697917331632383
171,860,True,tree100,0.5578434196174313,0.5887213728215126,0.5941140369774636,0.5914008828751538,0.5243649789380109
172,870,True,log,0.5714389438019737,0.7483550551869957,0.30926106161563227,0.43764249479831535,0.6985087910402376
173,870,True,tree100,0.5585440097098726,0.5898418111772107,0.5953432657033766,0.5925759587214613,0.5254397070247032
174,880,True,log,0.5730687465014181,0.7474860794064824,0.31591549125201784,0.4441207049366069,0.697090827991498
175,880,True,tree100,0.560610731520166,0.5922960850490198,0.5972392450986802,0.5947511092901012,0.5225913758569869
176,890,True,log,0.5732302207614612,0.7477932531812498,0.31610989495573233,0.44436910781324207,0.6973559154162762
177,890,True,tree100,0.5593834714096741,0.5910074565934391,0.5969849824631747,0.5939781028951872,0.5221464669373495
178,900,True,log,0.5711852675386064,0.7489188067635676,0.31165949592569175,0.440145452401054,0.6990459931188446
179,900,True,tree100,0.5591473844998409,0.5914774840219256,0.5978384980616233,0.5946389586108352,0.5221776277819971
180,910,True,log,0.5713120726377976,0.7489075315107158,0.3123974387236627,0.44087685222657863,0.6989047166682649
181,910,True,tree100,0.5601304658180666,0.592724909476779,0.5975915592558504,0.5951419131658655,0.5277831009335527
182,920,True,log,0.5722058961534799,0.748074627679259,0.3125851167871643,0.4409174713403742,0.7055060465305778
183,920,True,tree100,0.5598297972626198,0.5915810368143521,0.5955810887252813,0.5935698640919502,0.5350144324917504
184,930,True,log,0.5718321684161882,0.7479419411662815,0.3117136949001643,0.4400300895479359,0.6982917480368943
185,930,True,tree100,0.5585442989039658,0.5904281791142594,0.5942591047157897,0.5923355815659088,0.5239453668050824
